Date,City,Country,Parent_Category,Sub_Category,Sales,Profit,Lat,Lon
2025-10-06,Toronto,Canada,Tech Support,Cloud Migration,21083.13641929761,6003.1651217480685,43.6532,-79.3832
2025-02-22,Dartmouth,Canada,Apparel,Streetwear Cap,4949.078803560475,1230.5039530422414,44.6662,-63.5682
2025-11-25,Dartmouth,Canada,Tech Support,24/7 Support,20536.140474941225,8759.783192440873,44.6662,-63.5682
2026-02-03,Halifax,Canada,Apparel,Streetwear Cap,12348.082883838733,4904.618756387154,44.6488,-63.5752
2025-12-03,Halifax,Canada,Tech Support,Cloud Migration,16714.678607731137,3730.107846380672,44.6488,-63.5752
2025-01-09,New York,United States,Tech Support,Cloud Migration,16364.04049398485,5156.278468889965,40.7128,-74.006
2025-01-04,Miami,United States,Apparel,Streetwear Cap,5216.7818025358,2169.969389654872,25.7617,-80.1918
2025-05-07,Dartmouth,Canada,Data Analytics,Quantivo AI License,1564.649611486378,781.4616788609206,44.6662,-63.5682
2025-02-06,Dartmouth,Canada,Data Analytics,Server Rack,14978.237366792007,5713.130070645797,44.6662,-63.5682
2025-04-20,New York,United States,Apparel,Streetwear Cap,6621.718879418644,2866.5398911480374,40.7128,-74.006
2025-11-06,Toronto,Canada,Tech Support,Cloud Migration,7327.122340929155,1987.420161687526,43.6532,-79.3832
2026-01-29,Dartmouth,Canada,Data Analytics,Server Rack,16093.206248026145,4198.184012300414,44.6662,-63.5682
2025-03-05,Halifax,Canada,Tech Support,Cloud Migration,13244.949154756858,4795.387262363626,44.6488,-63.5752
2025-06-24,Dartmouth,Canada,Data Analytics,BI Dashboard Pro,14008.473933220415,3848.697656118597,44.6662,-63.5682
2025-03-02,Toronto,Canada,Data Analytics,Quantivo AI License,18956.77555886232,4163.706979247296,43.6532,-79.3832
2025-06-02,Miami,United States,Tech Support,Cloud Migration,7158.440372720088,1554.2960347764292,25.7617,-80.1918
2025-05-20,Vancouver,Canada,Tech Support,24/7 Support,18552.713151997737,5186.0410555705885,49.2827,-123.1207
2025-02-15,Vancouver,Canada,Data Analytics,Server Rack,23714.166645667843,7631.489274819194,49.2827,-123.1207
2025-04-26,Vancouver,Canada,Data Analytics,BI Dashboard Pro,7053.2449890611215,2102.9760491410834,49.2827,-123.1207
2025-10-06,Vancouver,Canada,Data Analytics,Quantivo AI License,24651.753574610044,8885.718900186417,49.2827,-123.1207
2025-06-06,Halifax,Canada,Tech Support,24/7 Support,20978.403790451375,5003.789756436237,44.6488,-63.5752
2025-12-15,Halifax,Canada,Data Analytics,Server Rack,21247.99035707041,4972.271781202261,44.6488,-63.5752
2025-02-22,New York,United States,Data Analytics,BI Dashboard Pro,18081.400613572318,6216.215104829102,40.7128,-74.006
2025-05-24,New York,United States,Tech Support,24/7 Support,6567.065123964081,2032.0855139029736,40.7128,-74.006
2025-06-03,New York,United States,Apparel,Streetwear Cap,12198.312387250531,3267.5791116164833,40.7128,-74.006
2025-01-08,Miami,United States,Tech Support,24/7 Support,3148.5224378871308,877.5102304703448,25.7617,-80.1918
2025-10-22,Toronto,Canada,Tech Support,24/7 Support,23804.10828785989,6072.312719208768,43.6532,-79.3832
2025-04-06,Halifax,Canada,Tech Support,24/7 Support,10384.990417742603,3726.711463764706,44.6488,-63.5752
2025-07-31,Halifax,Canada,Tech Support,Cloud Migration,18659.551863693534,3893.280704504861,44.6488,-63.5752
2025-08-29,Toronto,Canada,Apparel,Streetwear Cap,18949.187140789945,9348.903119860342,43.6532,-79.3832
2025-03-30,Toronto,Canada,Data Analytics,BI Dashboard Pro,15141.605714048534,3397.2656056352957,43.6532,-79.3832
2026-01-15,Dartmouth,Canada,Tech Support,Cloud Migration,3520.1892906511903,929.7834286588085,44.6662,-63.5682
2025-02-08,New York,United States,Tech Support,Cloud Migration,14119.139044867785,4347.315402193529,40.7128,-74.006
2025-03-10,Vancouver,Canada,Tech Support,24/7 Support,12560.545450730247,5742.195984303872,49.2827,-123.1207
2025-01-17,Miami,United States,Tech Support,Cloud Migration,18533.929237777123,8038.085810317413,25.7617,-80.1918
2025-04-25,New York,United States,Tech Support,24/7 Support,1919.1248280725467,434.15334801310047,40.7128,-74.006
2025-10-27,New York,United States,Tech Support,Cloud Migration,5412.156325573323,2586.5269784885763,40.7128,-74.006
2025-04-20,New York,United States,Apparel,Streetwear Cap,14769.253916832122,4408.779283592031,40.7128,-74.006
2025-11-18,Halifax,Canada,Tech Support,24/7 Support,19392.418295577805,9542.331783752685,44.6488,-63.5752
2025-09-22,Vancouver,Canada,Data Analytics,BI Dashboard Pro,4180.755916210286,1500.5649782670828,49.2827,-123.1207
2025-09-27,Dartmouth,Canada,Tech Support,24/7 Support,24931.490370856118,5518.271983085083,44.6662,-63.5682
2025-02-03,Vancouver,Canada,Tech Support,24/7 Support,12433.463157072756,4413.740659147392,49.2827,-123.1207
2025-09-06,Vancouver,Canada,Apparel,Streetwear Cap,22801.746092299672,8099.081377936302,49.2827,-123.1207
2025-05-10,Toronto,Canada,Tech Support,24/7 Support,3023.842462011448,1380.6209941515651,43.6532,-79.3832
2025-11-12,Miami,United States,Apparel,ME-U Hoodie,22573.065233779445,10148.68563602929,25.7617,-80.1918
2025-01-11,New York,United States,Tech Support,24/7 Support,15595.87868350328,7737.307949412597,40.7128,-74.006
2025-01-12,Toronto,Canada,Data Analytics,Quantivo AI License,6150.25806620965,2907.395770687119,43.6532,-79.3832
2025-12-15,Toronto,Canada,Tech Support,Cloud Migration,16220.157811924322,7698.976552203441,43.6532,-79.3832
2025-12-20,Halifax,Canada,Tech Support,24/7 Support,15941.411688199709,3501.8242207142785,44.6488,-63.5752
2025-03-24,Halifax,Canada,Tech Support,Cloud Migration,22461.561323669554,6877.95893345731,44.6488,-63.5752
2025-12-21,New York,United States,Tech Support,24/7 Support,1136.514685555608,415.95051713236876,40.7128,-74.006
2026-01-24,New York,United States,Apparel,ME-U Hoodie,19533.906577971822,8947.154012698356,40.7128,-74.006
2025-10-28,Miami,United States,Apparel,ME-U Hoodie,15407.449832995815,5823.098027452185,25.7617,-80.1918
2025-05-07,Vancouver,Canada,Data Analytics,BI Dashboard Pro,9788.34525813914,3972.5696113299755,49.2827,-123.1207
2026-01-18,New York,United States,Data Analytics,Server Rack,1912.9203246603533,632.3575779495721,40.7128,-74.006
2025-10-19,Halifax,Canada,Apparel,Streetwear Cap,12071.06523846411,5721.380469980058,44.6488,-63.5752
2025-02-28,Toronto,Canada,Data Analytics,Quantivo AI License,11858.205941632903,3874.893475160738,43.6532,-79.3832
2025-12-17,Dartmouth,Canada,Data Analytics,BI Dashboard Pro,23078.64769376679,7996.915619822424,44.6662,-63.5682
2025-05-27,Vancouver,Canada,Tech Support,Cloud Migration,2556.768543938313,984.4739282660271,49.2827,-123.1207
2025-04-20,Vancouver,Canada,Data Analytics,Quantivo AI License,6814.46431355758,1525.4464974586267,49.2827,-123.1207
2025-05-12,Miami,United States,Apparel,Streetwear Cap,12483.302192665784,5341.6090197908325,25.7617,-80.1918
2026-01-30,Miami,United States,Tech Support,Cloud Migration,5830.031333289383,2076.8254522043735,25.7617,-80.1918
2025-08-09,Dartmouth,Canada,Data Analytics,Quantivo AI License,21217.829310167814,4635.289366482986,44.6662,-63.5682
2025-10-17,Halifax,Canada,Data Analytics,Server Rack,21787.921451284463,4910.44764455135,44.6488,-63.5752
2025-10-27,New York,United States,Tech Support,Cloud Migration,24813.67138627747,11975.785748443188,40.7128,-74.006
2025-01-04,New York,United States,Tech Support,24/7 Support,9148.947534922798,2961.9919559332993,40.7128,-74.006
2025-12-11,Miami,United States,Apparel,Streetwear Cap,13414.186012391521,3850.285684878829,25.7617,-80.1918
2025-10-12,Dartmouth,Canada,Apparel,Streetwear Cap,23318.433387467092,7333.627939696962,44.6662,-63.5682
2025-06-05,Dartmouth,Canada,Data Analytics,BI Dashboard Pro,18293.94811250325,6120.937803307565,44.6662,-63.5682
2026-02-01,New York,United States,Tech Support,Cloud Migration,1217.6367764077113,328.01950492790394,40.7128,-74.006
2025-04-17,Dartmouth,Canada,Apparel,ME-U Hoodie,19189.61604174268,7409.732098254708,44.6662,-63.5682
2025-12-26,Toronto,Canada,Apparel,ME-U Hoodie,24097.267085159197,8917.296710981973,43.6532,-79.3832
2025-04-30,Toronto,Canada,Apparel,Streetwear Cap,3677.7350918902857,870.7385396607896,43.6532,-79.3832
2026-01-06,Halifax,Canada,Data Analytics,BI Dashboard Pro,10081.675480156278,2239.4979962213515,44.6488,-63.5752
2025-05-01,Dartmouth,Canada,Tech Support,Cloud Migration,3402.8851436662394,1521.7145593801795,44.6662,-63.5682
2026-01-14,Toronto,Canada,Apparel,ME-U Hoodie,15359.371359146015,3338.0480922279135,43.6532,-79.3832
2025-01-20,Dartmouth,Canada,Data Analytics,Server Rack,18813.607203986365,8977.889625976079,44.6662,-63.5682
2026-01-14,New York,United States,Tech Support,24/7 Support,7772.341030329768,2956.9152194720155,40.7128,-74.006
2025-06-08,Vancouver,Canada,Tech Support,24/7 Support,24391.570297936403,8041.161232888944,49.2827,-123.1207
2025-04-22,Halifax,Canada,Tech Support,Cloud Migration,11322.202581071777,2957.177164998947,44.6488,-63.5752
2026-01-22,Vancouver,Canada,Data Analytics,Server Rack,9308.794045682538,2387.4120496617443,49.2827,-123.1207
2026-01-14,Miami,United States,Tech Support,24/7 Support,12677.450436624666,4259.512752145185,25.7617,-80.1918
2025-09-21,Dartmouth,Canada,Tech Support,24/7 Support,16000.719731887224,6033.1178601564225,44.6662,-63.5682
2025-10-15,Vancouver,Canada,Data Analytics,Quantivo AI License,1671.9703312018703,557.1262154774938,49.2827,-123.1207
2025-04-26,Vancouver,Canada,Tech Support,Cloud Migration,2571.7162943333396,1020.4286552888627,49.2827,-123.1207
2025-11-28,Halifax,Canada,Data Analytics,Server Rack,24614.98437568209,9524.885193813454,44.6488,-63.5752
2025-12-18,Miami,United States,Apparel,ME-U Hoodie,3756.1120918746597,1014.3302152999208,25.7617,-80.1918
2025-11-22,Vancouver,Canada,Apparel,ME-U Hoodie,21549.925807835185,9116.315140815032,49.2827,-123.1207
2025-04-01,Toronto,Canada,Data Analytics,Quantivo AI License,6274.8231553361475,2267.791020235842,43.6532,-79.3832
2025-01-24,Toronto,Canada,Tech Support,24/7 Support,13808.403543494174,6898.88453921302,43.6532,-79.3832
2025-03-26,Miami,United States,Tech Support,Cloud Migration,14770.24779502314,5691.1138871633975,25.7617,-80.1918
2025-06-30,Dartmouth,Canada,Apparel,Streetwear Cap,1616.5556463857733,623.034234577844,44.6662,-63.5682
2025-07-20,Miami,United States,Apparel,ME-U Hoodie,6186.47449401094,2380.3882712171308,25.7617,-80.1918
2025-04-18,Dartmouth,Canada,Data Analytics,BI Dashboard Pro,19814.427341806062,7346.702889409084,44.6662,-63.5682
2025-02-11,Toronto,Canada,Apparel,Streetwear Cap,4239.204548736097,1380.3559811629357,43.6532,-79.3832
2025-11-16,Vancouver,Canada,Apparel,ME-U Hoodie,15144.137409047153,5733.625490741094,49.2827,-123.1207
2025-07-28,Toronto,Canada,Tech Support,24/7 Support,6702.777986385099,2353.7817652584213,43.6532,-79.3832
2026-01-26,Dartmouth,Canada,Apparel,Streetwear Cap,24574.48149703004,9994.2809548582,44.6662,-63.5682
2025-05-31,Halifax,Canada,Data Analytics,Server Rack,20614.74363954644,7239.442280859758,44.6488,-63.5752
2025-03-12,New York,United States,Tech Support,Cloud Migration,17076.633997807698,5157.883117970156,40.7128,-74.006
2025-02-21,Toronto,Canada,Apparel,ME-U Hoodie,23046.448843684295,8621.231984446596,43.6532,-79.3832
2025-07-25,Vancouver,Canada,Apparel,Streetwear Cap,12347.769345459028,2740.086714230562,49.2827,-123.1207
2025-11-14,Miami,United States,Apparel,ME-U Hoodie,19508.883952024556,7239.773964886881,25.7617,-80.1918
2025-01-10,Vancouver,Canada,Tech Support,24/7 Support,16973.160554815273,3581.846593736626,49.2827,-123.1207
2025-12-04,Dartmouth,Canada,Apparel,ME-U Hoodie,20944.19139164743,6112.577851955619,44.6662,-63.5682
2025-06-05,Halifax,Canada,Apparel,Streetwear Cap,10790.644181972011,5288.555196907137,44.6488,-63.5752
2025-10-01,New York,United States,Tech Support,Cloud Migration,10042.716374055519,2353.951527803216,40.7128,-74.006
2025-05-19,New York,United States,Data Analytics,Quantivo AI License,17070.857871098968,6498.115364722577,40.7128,-74.006
2025-01-11,Miami,United States,Tech Support,24/7 Support,6633.467376181567,2172.300676614054,25.7617,-80.1918
2025-07-15,Dartmouth,Canada,Apparel,Streetwear Cap,14624.193539125728,6383.817104386722,44.6662,-63.5682
2025-12-10,Halifax,Canada,Tech Support,Cloud Migration,23361.254008551536,11272.509320575438,44.6488,-63.5752
2026-01-10,Halifax,Canada,Apparel,ME-U Hoodie,5854.526841204644,1754.4574673667034,44.6488,-63.5752
2025-09-29,Toronto,Canada,Tech Support,24/7 Support,21027.416300049506,9738.795872535125,43.6532,-79.3832
2025-12-27,Vancouver,Canada,Apparel,ME-U Hoodie,18762.37772112863,9160.977967072517,49.2827,-123.1207
2025-08-19,Miami,United States,Apparel,Streetwear Cap,7566.076888118999,2990.4448694195735,25.7617,-80.1918
2025-05-25,Dartmouth,Canada,Data Analytics,BI Dashboard Pro,16641.67902674213,4209.459588819859,44.6662,-63.5682
2025-07-14,Dartmouth,Canada,Apparel,ME-U Hoodie,11992.287792367893,3393.4895805294113,44.6662,-63.5682
2025-07-31,New York,United States,Apparel,ME-U Hoodie,16126.407881640425,7008.332273942316,40.7128,-74.006
2025-04-11,Miami,United States,Apparel,Streetwear Cap,17856.264861978794,6939.444881175762,25.7617,-80.1918
2025-02-12,Halifax,Canada,Apparel,ME-U Hoodie,3666.7390254703528,1647.4802877151799,44.6488,-63.5752
2025-08-05,Miami,United States,Data Analytics,BI Dashboard Pro,12921.504584054555,5528.546022710426,25.7617,-80.1918
2025-04-15,New York,United States,Data Analytics,BI Dashboard Pro,5134.35353361764,2005.4383308646015,40.7128,-74.006
2026-01-10,Miami,United States,Apparel,ME-U Hoodie,7631.869525239652,2165.654671473197,25.7617,-80.1918
2025-08-13,Toronto,Canada,Tech Support,24/7 Support,18364.800892321153,5865.299139959349,43.6532,-79.3832
2025-05-02,Toronto,Canada,Data Analytics,Quantivo AI License,3931.7955027799885,1314.1699724435034,43.6532,-79.3832
2026-01-01,New York,United States,Tech Support,24/7 Support,18300.83624565037,5252.159788692769,40.7128,-74.006
2025-11-01,Miami,United States,Tech Support,24/7 Support,14390.120333902567,6443.6475879392,25.7617,-80.1918
2025-09-01,Toronto,Canada,Apparel,ME-U Hoodie,18298.535114235314,5912.629353537652,43.6532,-79.3832
2025-07-03,Miami,United States,Tech Support,Cloud Migration,15630.090228802155,6359.3242807468005,25.7617,-80.1918
2025-10-19,Toronto,Canada,Apparel,ME-U Hoodie,4042.4348539376433,885.752638592603,43.6532,-79.3832
2025-09-25,Vancouver,Canada,Tech Support,Cloud Migration,16371.89894361946,4528.2227840339665,49.2827,-123.1207
2025-10-15,Dartmouth,Canada,Data Analytics,Quantivo AI License,1102.7509001638398,454.1826572758496,44.6662,-63.5682
2025-06-03,Dartmouth,Canada,Apparel,Streetwear Cap,11843.199322504694,4511.681372298511,44.6662,-63.5682
2025-06-13,Dartmouth,Canada,Data Analytics,Server Rack,15332.180262806805,4488.058816582347,44.6662,-63.5682
2025-01-26,Halifax,Canada,Data Analytics,BI Dashboard Pro,23565.68516397576,7296.90498454509,44.6488,-63.5752
2025-01-12,Vancouver,Canada,Tech Support,Cloud Migration,9868.259247292139,4820.893038749004,49.2827,-123.1207
2025-06-14,New York,United States,Data Analytics,BI Dashboard Pro,14272.806156624614,6692.822785536508,40.7128,-74.006
2025-06-03,Vancouver,Canada,Apparel,Streetwear Cap,19339.788547013017,5384.2947142044795,49.2827,-123.1207
2025-06-17,Toronto,Canada,Tech Support,Cloud Migration,20167.825938938167,8840.498278161482,43.6532,-79.3832
2025-09-10,Halifax,Canada,Tech Support,Cloud Migration,18033.21083386413,5306.759728402558,44.6488,-63.5752
2025-06-13,Toronto,Canada,Data Analytics,Server Rack,24264.011472966133,8516.254711667008,43.6532,-79.3832
2025-10-02,Halifax,Canada,Tech Support,Cloud Migration,24746.910446760583,8684.452744034472,44.6488,-63.5752
2025-01-21,Miami,United States,Data Analytics,BI Dashboard Pro,9635.341204478214,3250.4765856189556,25.7617,-80.1918
2025-04-20,Toronto,Canada,Tech Support,Cloud Migration,20795.942924183648,4585.119402933263,43.6532,-79.3832
2026-01-30,Miami,United States,Data Analytics,Server Rack,1095.7125152510816,496.4318054784611,25.7617,-80.1918
2025-08-08,New York,United States,Apparel,ME-U Hoodie,16145.492797917781,3656.543144850483,40.7128,-74.006
2025-08-10,Dartmouth,Canada,Apparel,ME-U Hoodie,13040.82125275623,6473.685315911727,44.6662,-63.5682
2025-05-12,New York,United States,Apparel,ME-U Hoodie,19154.636098736053,4334.618893956507,40.7128,-74.006
2025-06-03,Halifax,Canada,Tech Support,Cloud Migration,23044.904262848588,5187.378329903778,44.6488,-63.5752
2025-08-23,Halifax,Canada,Apparel,Streetwear Cap,19100.396610728625,6539.122572643396,44.6488,-63.5752
2025-08-05,Halifax,Canada,Apparel,ME-U Hoodie,24918.542708702553,9311.442432754975,44.6488,-63.5752
2025-03-24,Miami,United States,Apparel,Streetwear Cap,1632.4669727014934,735.9911161153994,25.7617,-80.1918
2025-08-27,Toronto,Canada,Tech Support,24/7 Support,19924.44861010555,8592.313745618361,43.6532,-79.3832
2025-12-11,Dartmouth,Canada,Tech Support,Cloud Migration,12086.82787179641,2755.5177250794886,44.6662,-63.5682
2025-02-04,Dartmouth,Canada,Data Analytics,BI Dashboard Pro,19114.013238657495,5153.320585499132,44.6662,-63.5682
2025-05-24,Vancouver,Canada,Data Analytics,BI Dashboard Pro,10330.195727850041,2234.085514638346,49.2827,-123.1207
2025-01-14,Toronto,Canada,Tech Support,24/7 Support,11255.76396968607,3851.35847632578,43.6532,-79.3832
2026-01-08,Miami,United States,Tech Support,24/7 Support,23997.623691017263,5162.742932479904,25.7617,-80.1918
2025-09-23,Dartmouth,Canada,Tech Support,24/7 Support,22675.022128668516,10714.57224466838,44.6662,-63.5682
2025-05-13,Toronto,Canada,Tech Support,Cloud Migration,2119.0269828529367,622.3657641329489,43.6532,-79.3832
2025-02-06,Toronto,Canada,Tech Support,Cloud Migration,4005.7639547695867,1777.9588325785307,43.6532,-79.3832
2026-01-02,New York,United States,Apparel,ME-U Hoodie,23567.81549229709,9320.24512142127,40.7128,-74.006
2025-10-06,Vancouver,Canada,Apparel,ME-U Hoodie,3392.3171965717715,801.9768444547738,49.2827,-123.1207
2025-04-28,Miami,United States,Apparel,Streetwear Cap,2432.702304852707,776.0777084247198,25.7617,-80.1918
2025-03-24,Miami,United States,Tech Support,Cloud Migration,6943.952287194876,1986.6149278251994,25.7617,-80.1918
2025-12-11,Vancouver,Canada,Tech Support,24/7 Support,7216.387040565451,3298.1659696266265,49.2827,-123.1207
2025-10-03,Halifax,Canada,Data Analytics,BI Dashboard Pro,5897.681689018996,2800.349243210316,44.6488,-63.5752
2025-06-29,Dartmouth,Canada,Tech Support,24/7 Support,14795.574097430628,3729.9800323294835,44.6662,-63.5682
2025-02-23,Dartmouth,Canada,Data Analytics,Quantivo AI License,20780.36286243989,4864.565612725138,44.6662,-63.5682
2025-12-08,Halifax,Canada,Apparel,ME-U Hoodie,13623.304333830089,2913.5375435811998,44.6488,-63.5752
2025-09-03,Miami,United States,Data Analytics,BI Dashboard Pro,12018.27773920902,3499.311729099666,25.7617,-80.1918
2025-10-14,Miami,United States,Apparel,Streetwear Cap,11889.519480965417,5178.647429396413,25.7617,-80.1918
2025-05-15,Dartmouth,Canada,Apparel,ME-U Hoodie,9547.30199884769,4297.3682417043565,44.6662,-63.5682
2025-03-26,Dartmouth,Canada,Tech Support,24/7 Support,18430.305426051847,6948.792239876945,44.6662,-63.5682
2025-08-04,Halifax,Canada,Apparel,ME-U Hoodie,5807.498733530641,1790.4833089473204,44.6488,-63.5752
2025-12-18,Toronto,Canada,Apparel,Streetwear Cap,13560.925757753723,4643.228317035313,43.6532,-79.3832
2025-11-14,Halifax,Canada,Data Analytics,BI Dashboard Pro,4191.012420405194,1587.0651831092896,44.6488,-63.5752
2025-01-31,New York,United States,Apparel,Streetwear Cap,1647.3567192843532,363.52053154497736,40.7128,-74.006
2025-09-18,Vancouver,Canada,Apparel,Streetwear Cap,21345.220718663713,9213.368164344323,49.2827,-123.1207
2025-06-09,Halifax,Canada,Data Analytics,Server Rack,20609.86887277873,5079.947547845281,44.6488,-63.5752
2025-03-31,Miami,United States,Apparel,Streetwear Cap,6801.764300365774,2918.3702022987486,25.7617,-80.1918
2025-10-27,New York,United States,Data Analytics,Server Rack,1183.7180261109977,365.45354770592127,40.7128,-74.006
2025-10-24,Toronto,Canada,Data Analytics,Server Rack,24587.510982226016,11663.391241442108,43.6532,-79.3832
2025-10-20,Miami,United States,Apparel,ME-U Hoodie,9694.852976037057,2372.2455911727798,25.7617,-80.1918
2026-01-01,Halifax,Canada,Tech Support,Cloud Migration,7148.958882282744,1720.4915195503038,44.6488,-63.5752
2025-05-12,Toronto,Canada,Data Analytics,BI Dashboard Pro,20915.857450454114,4291.288420584618,43.6532,-79.3832
2025-05-04,Halifax,Canada,Apparel,Streetwear Cap,24709.496627695087,6338.237641993165,44.6488,-63.5752
2026-01-22,Halifax,Canada,Apparel,ME-U Hoodie,6959.228692240953,2320.108320458552,44.6488,-63.5752
2025-12-09,Halifax,Canada,Data Analytics,BI Dashboard Pro,19968.163163693192,6771.4356329668435,44.6488,-63.5752
2025-06-25,Miami,United States,Data Analytics,Quantivo AI License,18085.986446388237,4698.1232180639845,25.7617,-80.1918
2025-01-26,Toronto,Canada,Apparel,Streetwear Cap,24613.38365799524,7313.7723820512265,43.6532,-79.3832
2025-01-19,Vancouver,Canada,Tech Support,24/7 Support,16766.894611410396,4255.41833244106,49.2827,-123.1207
2025-03-10,New York,United States,Apparel,ME-U Hoodie,14343.097740898145,4219.519627514459,40.7128,-74.006
2025-08-23,Toronto,Canada,Apparel,Streetwear Cap,4167.0709670713595,993.412864356992,43.6532,-79.3832
2025-05-28,Halifax,Canada,Tech Support,Cloud Migration,1404.3356297593937,675.656822054095,44.6488,-63.5752
2025-08-29,Toronto,Canada,Tech Support,24/7 Support,13816.768540943363,5772.684369832282,43.6532,-79.3832
2025-06-27,Vancouver,Canada,Apparel,Streetwear Cap,14182.686377211354,5587.332133741717,49.2827,-123.1207
2025-03-27,Vancouver,Canada,Data Analytics,Quantivo AI License,1563.4575383066986,597.7466090394589,49.2827,-123.1207
2026-01-17,Toronto,Canada,Data Analytics,Quantivo AI License,4459.753421078825,1490.1105065898103,43.6532,-79.3832
2025-09-07,New York,United States,Data Analytics,BI Dashboard Pro,8742.2073045042,1811.4141444436534,40.7128,-74.006
2025-11-27,Vancouver,Canada,Tech Support,24/7 Support,4309.866183145785,948.1921923402886,49.2827,-123.1207
2025-03-29,New York,United States,Data Analytics,Server Rack,20888.54800402706,7998.4553248210395,40.7128,-74.006
2025-10-30,Miami,United States,Data Analytics,BI Dashboard Pro,13535.07185585255,3216.165385510187,25.7617,-80.1918
2026-01-04,Dartmouth,Canada,Data Analytics,BI Dashboard Pro,12127.281395681832,3518.854804515381,44.6662,-63.5682
2025-11-07,Vancouver,Canada,Tech Support,24/7 Support,8871.53322818258,4157.640863913328,49.2827,-123.1207
2026-01-07,Toronto,Canada,Data Analytics,Server Rack,19134.048963446916,4503.097883710938,43.6532,-79.3832
2025-03-31,Dartmouth,Canada,Data Analytics,Server Rack,15213.889621018265,6366.62034473096,44.6662,-63.5682
